STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,26.8,2026-07-27,00:45:00,92.0,2026-07-26,00:45:00,2026-07-27 00:57:34,30.950000000000045,Zone 4,63.2,Zone 5,31.4,Zone 4,59.2,Zone 5,42.1,Zone 5,62.8,Zone 5,59.8,Zone 5,65.4,Zone 5,63.2,Zone 5,67.4,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,28.5,2026-07-27,00:45:00,81.0,2026-07-26,00:45:00,2026-07-27 00:57:34,33.150000000000034,Zone 4,63.2,Zone 5,33.1,Zone 4,59.2,Zone 5,42.0,Zone 5,62.8,Zone 5,59.7,Zone 5,65.4,Zone 5,63.2,Zone 5,67.4,Zone 5
Andaman And Nicobar,South Andaman,Ferrargunj,27.2,2026-07-27,00:45:00,81.0,2026-07-26,00:45:00,2026-07-27 00:57:34,30.350000000000023,Zone 4,60.8,Zone 5,30.0,Zone 4,48.3,Zone 5,36.5,Zone 4,60.4,Zone 5,50.6,Zone 5,63.3,Zone 5,60.8,Zone 5,65.6,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,27.4,2026-07-27,00:45:00,90.0,2026-07-26,00:45:00,2026-07-27 00:57:34,32.05000000000001,Zone 4,63.6,Zone 5,32.3,Zone 4,59.7,Zone 5,44.3,Zone 5,63.2,Zone 5,60.2,Zone 5,65.8,Zone 5,63.6,Zone 5,67.7,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,28.9,2026-07-27,00:45:00,91.0,2026-07-26,00:45:00,2026-07-27 00:57:34,36.35000000000002,Zone 4,66.4,Zone 5,36.7,Zone 4,63.0,Zone 5,59.4,Zone 5,66.0,Zone 5,63.6,Zone 5,68.2,Zone 5,66.4,Zone 5,69.7,Zone 5
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,27.4,2026-07-27,00:45:00,87.0,2026-07-26,00:45:00,2026-07-27 00:57:34,31.55000000000001,Zone 4,63.0,Zone 5,31.8,Zone 4,58.5,Zone 5,40.6,Zone 5,62.6,Zone 5,59.4,Zone 5,65.2,Zone 5,63.0,Zone 5,67.2,Zone 5
Andaman And Nicobar,South Andaman,Swaraj Deep,28.1,2026-07-27,00:45:00,73.0,2026-07-26,00:45:00,2026-07-27 00:57:34,31.05000000000001,Zone 4,60.5,Zone 5,30.9,Zone 4,46.9,Zone 5,37.2,Zone 4,60.1,Zone 5,49.2,Zone 5,63.1,Zone 5,60.5,Zone 5,65.4,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,24.3,2026-07-27,00:45:00,91.0,2026-07-26,00:45:00,2026-07-27 00:57:34,26.05000000000001,Zone 4,58.5,Zone 5,26.4,Zone 4,39.5,Zone 5,32.9,Zone 4,57.1,Zone 5,41.5,Zone 5,61.7,Zone 5,58.5,Zone 5,64.2,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Chintapalli Amfu,24.5,2026-07-27,00:45:00,76.0,2026-07-26,00:45:00,2026-07-27 00:57:34,25.55000000000001,Zone 4,46.2,Zone 5,25.6,Zone 4,36.1,Zone 4,31.3,Zone 4,44.8,Zone 5,36.6,Zone 4,59.1,Zone 5,46.2,Zone 5,61.9,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Pandirimamidi Hrs,27.2,2026-07-27,00:30:00,79.0,2026-07-26,00:30:00,2026-07-27 00:57:34,30.150000000000034,Zone 4,60.3,Zone 5,29.7,Zone 4,46.1,Zone 5,36.2,Zone 4,59.9,Zone 5,48.4,Zone 5,63.0,Zone 5,60.3,Zone 5,65.2,Zone 5
