STATE,DISTRICT,STATION,LAT,LON,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,7.0076,93.9048,25.1,2026-09-14,00:30:00,97.0,2026-09-13,00:30:00,2026-09-14 00:50:21,27.950000000000045,Zone 4,60.28,Zone 5,26.99,Zone 4,59.16,Zone 5,33.93,Zone 4,62.42,Zone 5,48.3,Zone 5,64.81,Zone 5,60.28,Zone 5,66.66,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,9.1573,92.7581,25.2,2026-09-14,00:30:00,97.0,2026-09-13,00:30:00,2026-09-14 00:50:21,28.150000000000034,Zone 4,60.28,Zone 5,26.99,Zone 4,59.16,Zone 5,33.93,Zone 4,62.42,Zone 5,48.3,Zone 5,64.81,Zone 5,60.28,Zone 5,66.66,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,7.9768,93.5509,40.9,2026-09-14,00:30:00,97.0,2026-09-13,00:30:00,2026-09-14 00:50:21,102.65000000000003,Zone 6,116.99,Zone 6,106.78,Zone 6,114.92,Zone 6,110.26,Zone 6,118.31,Zone 6,113.64,Zone 6,121.61,Zone 6,116.99,Zone 6,124.88,Zone 6
Andaman And Nicobar,N M Andaman,Mayabunder,12.8755,92.8922,25.5,2026-09-14,00:15:00,,,,2026-09-14 00:50:21,,,,,,,,,,,,,,,,,,,,
Andaman And Nicobar,South Andaman,Ferrargunj,11.7206,92.6542,24.8,2026-09-14,00:45:00,82.0,2026-09-13,00:45:00,2026-09-14 00:50:21,26.350000000000023,Zone 4,51.69,Zone 5,25.99,Zone 4,46.9,Zone 5,32.04,Zone 4,59.66,Zone 5,37.55,Zone 4,62.41,Zone 5,51.69,Zone 5,64.55,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,10.5962,92.5364,24.8,2026-09-14,00:30:00,99.0,2026-09-13,00:30:00,2026-09-14 00:50:21,27.55000000000001,Zone 4,60.7,Zone 5,27.14,Zone 4,59.58,Zone 5,34.22,Zone 4,62.78,Zone 5,50.32,Zone 5,65.12,Zone 5,60.7,Zone 5,66.93,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,11.6562,92.7432,26.1,2026-09-14,00:30:00,99.0,2026-09-13,00:30:00,2026-09-14 00:50:21,30.25,Zone 4,62.46,Zone 5,29.2,Zone 4,61.39,Zone 5,38.29,Zone 5,64.32,Zone 5,58.51,Zone 5,66.45,Zone 5,62.46,Zone 5,68.1,Zone 5
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,11.0,92.744,26.3,2026-09-14,00:45:00,98.0,2026-09-13,00:45:00,2026-09-14 00:50:21,30.55000000000001,Zone 4,63.13,Zone 5,30.22,Zone 4,62.08,Zone 5,41.75,Zone 5,64.9,Zone 5,59.67,Zone 5,66.96,Zone 5,63.13,Zone 5,68.55,Zone 5
Andaman And Nicobar,South Andaman,Swaraj Deep,12.0124,92.9824,25.1,2026-09-14,00:45:00,87.0,2026-09-13,00:45:00,2026-09-14 00:50:21,27.150000000000034,Zone 4,55.98,Zone 5,26.29,Zone 4,51.38,Zone 5,32.61,Zone 4,60.59,Zone 5,38.74,Zone 5,63.22,Zone 5,55.98,Zone 5,65.26,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,18.32,82.87,20.2,2026-09-14,00:30:00,96.0,2026-09-13,00:30:00,2026-09-14 00:50:21,21.55000000000001,Zone 3,35.42,Zone 4,20.61,Zone 3,34.28,Zone 4,25.52,Zone 4,43.04,Zone 5,30.6,Zone 4,56.48,Zone 5,35.42,Zone 4,60.93,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Chintapalli Amfu,17.895,82.3417,20.5,2026-09-14,00:30:00,91.0,2026-09-13,00:30:00,2026-09-14 00:50:21,21.650000000000034,Zone 3,35.74,Zone 4,20.99,Zone 3,34.62,Zone 4,25.96,Zone 4,42.82,Zone 5,30.99,Zone 4,56.28,Zone 5,35.74,Zone 4,60.88,Zone 5
