STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,25.8,2026-06-28,23:45:00,96.0,2026-06-28,23:45:00,2026-06-29 00:20:13,29.25,Zone 4,62.4,Zone 5,29.6,Zone 4,56.0,Zone 5,37.8,Zone 5,62.0,Zone 5,58.2,Zone 5,64.7,Zone 5,62.4,Zone 5,66.8,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,25.6,2026-06-29,00:00:00,95.0,2026-06-28,00:00:00,2026-06-29 00:20:13,28.75,Zone 4,61.3,Zone 5,28.5,Zone 4,51.0,Zone 5,35.6,Zone 4,60.9,Zone 5,53.4,Zone 5,63.8,Zone 5,61.3,Zone 5,66.0,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,26.7,2026-06-29,00:00:00,98.0,2026-06-28,00:00:00,2026-06-29 00:20:13,31.55000000000001,Zone 4,63.7,Zone 5,31.0,Zone 4,59.7,Zone 5,44.5,Zone 5,63.3,Zone 5,60.3,Zone 5,65.8,Zone 5,63.7,Zone 5,67.7,Zone 5
Andaman And Nicobar,N M Andaman,Mayabunder,26.2,2026-06-28,23:45:00,99.0,2026-06-28,23:45:00,2026-06-29 00:20:13,30.450000000000045,Zone 4,63.0,Zone 5,30.0,Zone 4,58.7,Zone 5,40.9,Zone 5,62.6,Zone 5,59.5,Zone 5,65.2,Zone 5,63.0,Zone 5,67.2,Zone 5
Andaman And Nicobar,N M Andaman,Rangat Nimbutala,26.1,2026-06-29,00:00:00,99.0,2026-06-28,00:00:00,2026-06-29 00:20:13,30.25,Zone 4,63.0,Zone 5,30.0,Zone 4,58.7,Zone 5,40.9,Zone 5,62.6,Zone 5,59.5,Zone 5,65.2,Zone 5,63.0,Zone 5,67.2,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,25.2,2026-06-29,00:00:00,99.0,2026-06-28,00:00:00,2026-06-29 00:20:13,28.25,Zone 4,61.3,Zone 5,27.9,Zone 4,50.8,Zone 5,35.0,Zone 4,60.9,Zone 5,53.2,Zone 5,63.8,Zone 5,61.3,Zone 5,66.0,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,28.1,2026-06-29,00:00:00,95.0,2026-06-28,00:00:00,2026-06-29 00:20:13,34.85000000000002,Zone 4,65.6,Zone 5,34.5,Zone 4,62.0,Zone 5,56.1,Zone 5,65.2,Zone 5,62.6,Zone 5,67.5,Zone 5,65.6,Zone 5,69.1,Zone 5
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,26.4,2026-06-29,00:15:00,93.0,2026-06-28,00:15:00,2026-06-29 00:20:13,30.150000000000034,Zone 4,62.6,Zone 5,30.4,Zone 4,57.0,Zone 5,38.8,Zone 5,62.2,Zone 5,59.0,Zone 5,64.9,Zone 5,62.6,Zone 5,66.9,Zone 5
Andaman And Nicobar,South Andaman,Swaraj Deep,27.2,2026-06-29,00:15:00,80.0,2026-06-28,00:15:00,2026-06-29 00:20:13,30.25,Zone 4,60.6,Zone 5,29.9,Zone 4,47.2,Zone 5,36.3,Zone 4,60.2,Zone 5,49.5,Zone 5,63.2,Zone 5,60.6,Zone 5,65.4,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,24.9,2026-06-29,00:00:00,93.0,2026-06-28,00:00:00,2026-06-29 00:20:13,27.25,Zone 4,60.1,Zone 5,27.4,Zone 4,45.0,Zone 5,34.1,Zone 4,59.7,Zone 5,47.3,Zone 5,62.8,Zone 5,60.1,Zone 5,65.1,Zone 5
